2019-07-12,8375.39
2012-02-23,128.52
2016-08-04,573.18
2015-10-07,313.44
2013-05-09,116.23
2018-11-16,5621.79
2017-12-29,13812.50
2023-03-10,80995.25
2014-01-14,851.28
2011-09-20,5.75
2010-04-07,0.23
2020-06-26,9228.10
2021-09-17,47791.47
2022-08-15,42750.89
2010-12-01,1.99
2018-02-12,8622.39
2015-04-03,254.38
2013-10-28,206.40
2019-01-08,4015.12
2016-11-20,731.82
2017-06-22,2687.40
2012-07-05,91.02
2011-04-16,0.71
2021-01-29,33778.49
2014-12-10,352.20
2023-11-02,57138.50
2010-10-14,0.22
2022-05-11,36205.97
2013-03-25,83.99
2015-08-27,229.95
2018-06-03,7633.40
2016-02-15,408.59
2011-11-25,2.49
2020-09-02,10930.10
2017-01-13,818.58
2019-05-18,7316.82
2014-08-05,584.67
2021-03-04,48974.13
2010-07-26,0.07
2013-12-15,684.67
2015-01-06,275.16
2022-09-21,42901.83
2016-04-08,420.15
2018-10-01,6568.80
2017-07-29,2739.97
2011-05-22,7.94
2023-01-18,40136.72
2010-11-03,0.22
2019-02-27,3798.01
2012-12-19,13.19
2014-05-31,629.39
2021-06-13,38736.48
2016-09-26,608.83
2018-03-19,8302.16
2015-05-13,233.92
2013-11-06,251.80
2010-09-07,0.07
2022-06-25,34261.05
2017-03-15,1237.61
2011-12-08,3.25
2019-07-30,9460.86
2012-03-25,86.17
2014-10-18,392.14
2021-01-09,40733.18
2010-08-01,0.06
2013-01-21,13.56
2015-10-13,251.90
2018-07-05,6608.60
2016-04-24,457.42
2011-02-16,0.96
2023-02-08,48040.33
2010-12-03,0.22
2019-03-11,3889.16
2012-01-14,6.66
2014-06-05,646.80
2021-07-25,38280.29
2016-10-11,638.73
2018-04-03,7058.45
2015-06-04,223.33
2013-12-21,618.03
2010-09-24,0.15
2022-07-14,32121.25
2017-04-06,1197.85
2011-01-30,0.95
2019-08-17,10123.81
2012-04-17,88.13
2014-11-10,337.55
2020-01-01,7188.55

